east_station_id,west_station_id,normalized_along_gulf_coordinate,xi_mismatch,east_alongshore_distance_m,west_alongshore_distance_m,east_distance_to_20m_isobath,west_distance_to_20m_isobath,east_raw_source_id,west_raw_source_id,east_median_top3_response,west_median_top3_response
east_0106,west_0110,0.307644118151,7.01473014734e-05,53000,55000,13.0138075202,441.577542661,ribot_gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0107,west_0111,0.310546421152,3.47532867466e-05,53500,55500,9.63249721787,324.241558879,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0108,west_0112,0.313448724153,0.000139653874967,54000,56000,10.2487627299,283.190183237,gmrt_shore_blend,gmrt_shore_blend,nan,3.16193121734
east_0109,west_0113,0.316351027155,0.000244554463187,54500,56500,23.4157485802,266.894035145,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0110,west_0114,0.319253330156,0.000349455051407,55000,57000,10.9999004654,180.585179516,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0111,west_0115,0.322155633158,0.000454355639627,55500,57500,14.4159680702,274.768905342,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0112,west_0116,0.325057936159,0.000559256227847,56000,58000,19.4791946623,616.032030373,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0113,west_0117,0.327960239161,0.000664156816067,56500,58500,41.9578920124,474.991979522,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0114,west_0118,0.330862542162,0.000769057404287,57000,59000,12.5628389249,136.479933937,copernicus_a2_land_core,gmrt_core,nan,nan
east_0115,west_0119,0.333764845163,0.000873957992507,57500,59500,19.404311458,199.691393805,copernicus_a2_land_core,gmrt_core,13.1725895713,5.19063385084
east_0116,west_0120,0.336667148165,0.000978858580727,58000,60000,17.4110002387,237.818249837,copernicus_a2_land_core,gmrt_shore_blend,16.1323966592,nan
east_0117,west_0121,0.339569451166,0.00108375916895,58500,60500,19.5120969864,236.976550464,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0118,west_0122,0.342471754168,0.00118865975717,59000,61000,37.0300362748,151.936466604,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0119,west_0123,0.345374057169,0.00129356034539,59500,61500,25.5792193811,199.969122708,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0120,west_0124,0.34827636017,0.00139846093361,60000,62000,27.4294002072,214.541364707,copernicus_a2_land_core,gmrt_shore_blend,12.1364013141,nan
east_0121,west_0126,0.351178663172,0.00129404089137,60500,63000,19.6721058776,529.772097369,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0122,west_0127,0.354080966173,0.00118914030315,61000,63500,19.9584689057,808.488904801,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0123,west_0128,0.356983269175,0.00108423971493,61500,64000,24.7197999076,862.71368687,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0124,west_0129,0.359885572176,0.000979339126712,62000,64500,35.8443410526,687.403740676,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0125,west_0130,0.362787875178,0.000874438538492,62500,65000,19.293825159,136.49416703,copernicus_a2_land_core,gmrt_core,nan,nan
east_0126,west_0131,0.365690178179,0.000769537950272,63000,65500,46.976671228,193.865670217,gmrt_shore_blend,gmrt_shore_blend,17.4530394263,nan
east_0127,west_0132,0.36859248118,0.000664637362052,63500,66000,10.9806490799,293.083759996,copernicus_a2_land_core,gmrt_shore_blend,15.2509465537,nan
east_0128,west_0133,0.371494784182,0.000559736773832,64000,66500,16.7324811323,219.131741838,copernicus_a2_land_core,gmrt_shore_blend,13.5025655281,3.1169101818
east_0129,west_0134,0.374397087183,0.000454836185612,64500,67000,9.71815878361,306.561800646,gmrt_shore_blend,gmrt_shore_blend,26.1491157125,nan
east_0130,west_0135,0.377299390185,0.000349935597392,65000,67500,35.0448545902,384.049867699,copernicus_a2_land_core,gmrt_shore_blend,nan,3.73802382684
east_0131,west_0136,0.380201693186,0.000245035009172,65500,68000,18.6584309546,146.190089329,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0132,west_0137,0.383103996187,0.000140134420952,66000,68500,12.7630027956,138.461554656,gmrt_shore_blend,gmrt_shore_blend,nan,3.84707872211
east_0133,west_0138,0.386006299189,3.52338327317e-05,66500,69000,5.29620765927,213.569466862,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
east_0134,west_0139,0.38890860219,6.96667554884e-05,67000,69500,9.26820653233,164.891990485,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0135,west_0140,0.391810905192,0.000174567343708,67500,70000,13.2706242958,173.261795781,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0136,west_0141,0.394713208193,0.000279467931929,68000,70500,16.7872950084,176.407108631,gmrt_shore_blend,gmrt_shore_blend,nan,nan
east_0137,west_0142,0.397615511195,0.000384368520149,68500,71000,22.1633542452,123.201778531,copernicus_a2_land_core,gmrt_shore_blend,nan,nan
