side,station_id,distance_offshore_m,bed_elevation_m,water_depth_m,source_topo_id,native_resolution_m,effective_resolution_m,valid_source_data
east,east_0100,1900,-777.697740641,777.697740641,topo-bathy.tt3,30,30,true
east,east_0100,1950,-781.913802138,781.913802138,topo-bathy.tt3,30,30,true
east,east_0100,2000,-785.639061849,785.639061849,topo-bathy.tt3,30,30,true
east,east_0120,0,0.484238565256,-0.484238565256,topo-bathy.tt3,30,30,true
east,east_0120,50,-36.8556930601,36.8556930601,topo-bathy.tt3,30,30,true
east,east_0120,100,-52.031432708,52.031432708,topo-bathy.tt3,30,30,true
east,east_0120,150,-65.5383163835,65.5383163835,topo-bathy.tt3,30,30,true
east,east_0120,200,-80.1478879948,80.1478879948,topo-bathy.tt3,30,30,true
east,east_0120,250,-95.7490714559,95.7490714559,topo-bathy.tt3,30,30,true
east,east_0120,300,-108.14460137,108.14460137,topo-bathy.tt3,30,30,true
east,east_0120,350,-122.083953594,122.083953594,topo-bathy.tt3,30,30,true
east,east_0120,400,-96.7398107843,96.7398107843,topo-bathy.tt3,30,30,true
east,east_0120,450,-105.523603448,105.523603448,topo-bathy.tt3,30,30,true
east,east_0120,500,-117.719059403,117.719059403,topo-bathy.tt3,30,30,true
east,east_0120,550,-129.265401851,129.265401851,topo-bathy.tt3,30,30,true
east,east_0120,600,-140.39237353,140.39237353,topo-bathy.tt3,30,30,true
east,east_0120,650,-153.394312868,153.394312868,topo-bathy.tt3,30,30,true
east,east_0120,700,-164.905337187,164.905337187,topo-bathy.tt3,30,30,true
east,east_0120,750,-178.51376398,178.51376398,topo-bathy.tt3,30,30,true
east,east_0120,800,-194.587463309,194.587463309,topo-bathy.tt3,30,30,true
east,east_0120,850,-211.549200946,211.549200946,topo-bathy.tt3,30,30,true
east,east_0120,900,-231.321985,231.321985,topo-bathy.tt3,30,30,true
east,east_0120,950,-252.04618239,252.04618239,topo-bathy.tt3,30,30,true
east,east_0120,1000,-273.077877421,273.077877421,topo-bathy.tt3,30,30,true
east,east_0120,1050,-289.907494811,289.907494811,topo-bathy.tt3,30,30,true
east,east_0120,1100,-305.881134932,305.881134932,topo-bathy.tt3,30,30,true
east,east_0120,1150,-322.605321574,322.605321574,topo-bathy.tt3,30,30,true
east,east_0120,1200,-335.854343265,335.854343265,topo-bathy.tt3,30,30,true
east,east_0120,1250,-347.464534867,347.464534867,topo-bathy.tt3,30,30,true
east,east_0120,1300,-359.155537437,359.155537437,topo-bathy.tt3,30,30,true
east,east_0120,1350,-370.498596582,370.498596582,topo-bathy.tt3,30,30,true
east,east_0120,1400,-382.427599366,382.427599366,topo-bathy.tt3,30,30,true
east,east_0120,1450,-394.796832099,394.796832099,topo-bathy.tt3,30,30,true
east,east_0120,1500,-408.333509692,408.333509692,topo-bathy.tt3,30,30,true
east,east_0120,1550,-422.409224812,422.409224812,topo-bathy.tt3,30,30,true
east,east_0120,1600,-435.748833878,435.748833878,topo-bathy.tt3,30,30,true
east,east_0120,1650,-448.7756426,448.7756426,topo-bathy.tt3,30,30,true
east,east_0120,1700,-462.011713194,462.011713194,topo-bathy.tt3,30,30,true
east,east_0120,1750,-475.227388919,475.227388919,topo-bathy.tt3,30,30,true
east,east_0120,1800,-488.72178086,488.72178086,topo-bathy.tt3,30,30,true
east,east_0120,1850,-502.086360058,502.086360058,topo-bathy.tt3,30,30,true
east,east_0120,1900,-514.785480381,514.785480381,topo-bathy.tt3,30,30,true
east,east_0120,1950,-526.769717196,526.769717196,topo-bathy.tt3,30,30,true
east,east_0120,2000,-538.18774472,538.18774472,topo-bathy.tt3,30,30,true
east,east_0140,0,2.50345161242,-2.50345161242,topo-bathy.tt3,30,30,true
east,east_0140,50,-61.3556247477,61.3556247477,topo-bathy.tt3,30,30,true
east,east_0140,100,-111.720799807,111.720799807,topo-bathy.tt3,30,30,true
east,east_0140,150,-124.362773595,124.362773595,topo-bathy.tt3,30,30,true
east,east_0140,200,-51.3733802683,51.3733802683,topo-bathy.tt3,30,30,true
east,east_0140,250,-64.7620656593,64.7620656593,topo-bathy.tt3,30,30,true
east,east_0140,300,-88.3726572768,88.3726572768,topo-bathy.tt3,30,30,true
east,east_0140,350,-128.515564352,128.515564352,topo-bathy.tt3,30,30,true
east,east_0140,400,-180.050003964,180.050003964,topo-bathy.tt3,30,30,true
east,east_0140,450,-228.870673773,228.870673773,topo-bathy.tt3,30,30,true
east,east_0140,500,-266.013342629,266.013342629,topo-bathy.tt3,30,30,true
east,east_0140,550,-296.579951279,296.579951279,topo-bathy.tt3,30,30,true
east,east_0140,600,-321.857747063,321.857747063,topo-bathy.tt3,30,30,true
east,east_0140,650,-342.080586607,342.080586607,topo-bathy.tt3,30,30,true
east,east_0140,700,-366.00928062,366.00928062,topo-bathy.tt3,30,30,true
east,east_0140,750,-392.587216095,392.587216095,topo-bathy.tt3,30,30,true
east,east_0140,800,-415.970435315,415.970435315,topo-bathy.tt3,30,30,true
east,east_0140,850,-441.437827537,441.437827537,topo-bathy.tt3,30,30,true
east,east_0140,900,-471.567647464,471.567647464,topo-bathy.tt3,30,30,true
east,east_0140,950,-500.293616815,500.293616815,topo-bathy.tt3,30,30,true
east,east_0140,1000,-527.371545368,527.371545368,topo-bathy.tt3,30,30,true
east,east_0140,1050,-549.414593392,549.414593392,topo-bathy.tt3,30,30,true
east,east_0140,1100,-566.526193644,566.526193644,topo-bathy.tt3,30,30,true
east,east_0140,1150,-583.49655198,583.49655198,topo-bathy.tt3,30,30,true
east,east_0140,1200,-602.02674219,602.02674219,topo-bathy.tt3,30,30,true
east,east_0140,1250,-629.720390152,629.720390152,topo-bathy.tt3,30,30,true
east,east_0140,1300,-670.546262036,670.546262036,topo-bathy.tt3,30,30,true
east,east_0140,1350,-720.680302634,720.680302634,topo-bathy.tt3,30,30,true
east,east_0140,1400,-768.658200472,768.658200472,topo-bathy.tt3,30,30,true
east,east_0140,1450,-798.897888369,798.897888369,topo-bathy.tt3,30,30,true
east,east_0140,1500,-818.26060559,818.26060559,topo-bathy.tt3,30,30,true
east,east_0140,1550,-836.027979443,836.027979443,topo-bathy.tt3,30,30,true
east,east_0140,1600,-854.695384441,854.695384441,topo-bathy.tt3,30,30,true
east,east_0140,1650,-873.633538021,873.633538021,topo-bathy.tt3,30,30,true
east,east_0140,1700,-889.986154618,889.986154618,topo-bathy.tt3,30,30,true
east,east_0140,1750,-908.082935059,908.082935059,topo-bathy.tt3,30,30,true
east,east_0140,1800,-942.398886385,942.398886385,topo-bathy.tt3,30,30,true
east,east_0140,1850,-983.648117995,983.648117995,topo-bathy.tt3,30,30,true
east,east_0140,1900,-1011.50126763,1011.50126763,topo-bathy.tt3,30,30,true
east,east_0140,1950,-1036.3052884,1036.3052884,topo-bathy.tt3,30,30,true
east,east_0140,2000,-1064.41560192,1064.41560192,topo-bathy.tt3,30,30,true
east,east_0160,0,-12.7531766317,12.7531766317,topo-bathy.tt3,30,30,true
east,east_0160,50,-97.1856734275,97.1856734275,topo-bathy.tt3,30,30,true
east,east_0160,100,-168.077415472,168.077415472,topo-bathy.tt3,30,30,true
east,east_0160,150,-197.335933049,197.335933049,topo-bathy.tt3,30,30,true
east,east_0160,200,-188.15991689,188.15991689,topo-bathy.tt3,30,30,true
east,east_0160,250,-195.179367092,195.179367092,topo-bathy.tt3,30,30,true
east,east_0160,300,-223.090488351,223.090488351,topo-bathy.tt3,30,30,true
east,east_0160,350,-255.34968618,255.34968618,topo-bathy.tt3,30,30,true
east,east_0160,400,-291.531885702,291.531885702,topo-bathy.tt3,30,30,true
east,east_0160,450,-331.141692841,331.141692841,topo-bathy.tt3,30,30,true
east,east_0160,500,-375.469026415,375.469026415,topo-bathy.tt3,30,30,true
east,east_0160,550,-417.574432225,417.574432225,topo-bathy.tt3,30,30,true
east,east_0160,600,-457.231266516,457.231266516,topo-bathy.tt3,30,30,true
east,east_0160,650,-484.223151355,484.223151355,topo-bathy.tt3,30,30,true
